,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.07831776269045627,0.03213549786378074,0.06533662367886327,0.02833277467462473,0.07626112457320272,0.022632776192412836,0.014120829431248429,0.014580715408395704,0.02416949584118638,0.018624402365867262,0.02382249323333979,0.020634494636054584,0.013657379918551631,0.058586980015848826,0.044047157187515756,0.08832105604374815,0.06869880101262253,0.02556523708504223,0.03727796284683653,0.016825820286026985,0.02482439516792897,0.02903483025381079,0.03845387100948708,0.026891366322096145,0.020365392168550617,0.01994164849311782,0.030541464409324596,0.03799764719005863
1,0.08879621933879851,0.027723592031174412,0.09223732770961217,0.038493334809606726,0.07116533168614633,0.024763795082765775,0.011395010763422744,0.02011959771783127,0.027918182933259632,0.012534823586930519,0.03250488475244203,0.014871954135111614,0.018924017053393912,0.07965672869535663,0.02809892627707051,0.082774151796078,0.06634413383292785,0.02345789505665255,0.02003806062658553,0.018843242467959806,0.0224246751710878,0.01824655295208445,0.02444703038881506,0.04663890682522661,0.019471549945448297,0.016294102693370022,0.02810483289825844,0.023711138772582765
2,0.12,0.0,0.06,0.03,0.15,0.02,0.01,0.04,0.01,0.0,0.01,0.03,0.02,0.08,0.02,0.11,0.07,0.05,0.01,0.0,0.0,0.03,0.03,0.04,0.04,0.0,0.01,0.01
3,0.15,0.04,0.1,0.01,0.1,0.01,0.03,0.09,0.02,0.01,0.0,0.01,0.01,0.05,0.01,0.04,0.12,0.03,0.02,0.0,0.01,0.02,0.0,0.05,0.01,0.02,0.01,0.03
4,0.14,0.01,0.16,0.03,0.13,0.01,0.02,0.03,0.01,0.02,0.03,0.0,0.02,0.04,0.02,0.03,0.1,0.02,0.0,0.05,0.02,0.0,0.0,0.04,0.0,0.01,0.04,0.02
5,0.11,0.01,0.12,0.04,0.1,0.01,0.01,0.04,0.02,0.04,0.03,0.04,0.01,0.05,0.04,0.03,0.05,0.03,0.01,0.0,0.03,0.02,0.02,0.08,0.01,0.01,0.0,0.04
6,0.1,0.0,0.13,0.02,0.07,0.01,0.02,0.05,0.01,0.0,0.0,0.02,0.02,0.05,0.02,0.06,0.11,0.03,0.02,0.0,0.02,0.04,0.03,0.03,0.04,0.01,0.02,0.07
7,0.06,0.02,0.16,0.07,0.08,0.03,0.01,0.02,0.01,0.05,0.0,0.01,0.0,0.03,0.01,0.03,0.14,0.01,0.01,0.0,0.03,0.03,0.01,0.09,0.02,0.02,0.01,0.04
8,0.09,0.03,0.09,0.1,0.07,0.01,0.01,0.07,0.04,0.01,0.02,0.01,0.01,0.04,0.02,0.04,0.12,0.0,0.02,0.02,0.01,0.01,0.02,0.07,0.03,0.0,0.01,0.03
9,0.14,0.01,0.13,0.1,0.07,0.03,0.0,0.01,0.01,0.02,0.01,0.01,0.0,0.04,0.02,0.04,0.1,0.01,0.02,0.0,0.02,0.03,0.02,0.08,0.01,0.02,0.01,0.04
10,0.17,0.02,0.11,0.03,0.09,0.03,0.01,0.07,0.0,0.0,0.01,0.02,0.0,0.08,0.05,0.02,0.08,0.01,0.0,0.01,0.04,0.04,0.01,0.01,0.01,0.03,0.01,0.04
11,0.13,0.01,0.15,0.05,0.09,0.0,0.0,0.05,0.02,0.01,0.05,0.02,0.04,0.02,0.05,0.0,0.07,0.01,0.02,0.02,0.03,0.03,0.03,0.02,0.01,0.02,0.02,0.03
12,0.15,0.02,0.15,0.03,0.04,0.01,0.04,0.03,0.06,0.01,0.01,0.01,0.0,0.01,0.05,0.04,0.13,0.03,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.0
13,0.16,0.03,0.11,0.07,0.02,0.0,0.03,0.01,0.04,0.02,0.01,0.01,0.01,0.02,0.12,0.02,0.14,0.01,0.01,0.01,0.05,0.02,0.01,0.02,0.01,0.0,0.0,0.04
14,0.14,0.04,0.1,0.04,0.06,0.01,0.02,0.02,0.07,0.01,0.04,0.0,0.01,0.0,0.1,0.0,0.1,0.02,0.03,0.01,0.03,0.03,0.01,0.05,0.03,0.01,0.01,0.01
15,0.13,0.01,0.09,0.11,0.04,0.03,0.03,0.04,0.03,0.02,0.02,0.02,0.01,0.0,0.05,0.02,0.09,0.03,0.02,0.01,0.02,0.04,0.02,0.02,0.02,0.0,0.01,0.07
16,0.14,0.01,0.09,0.08,0.0,0.01,0.02,0.04,0.04,0.03,0.07,0.01,0.01,0.04,0.01,0.04,0.13,0.01,0.0,0.01,0.06,0.03,0.03,0.03,0.02,0.01,0.02,0.01
17,0.16,0.02,0.12,0.05,0.01,0.0,0.01,0.12,0.03,0.04,0.07,0.0,0.02,0.02,0.0,0.02,0.09,0.01,0.02,0.03,0.08,0.0,0.03,0.0,0.02,0.0,0.01,0.02
18,0.17,0.03,0.03,0.08,0.01,0.01,0.01,0.02,0.03,0.06,0.02,0.01,0.02,0.03,0.02,0.0,0.18,0.0,0.04,0.03,0.04,0.04,0.05,0.01,0.02,0.03,0.0,0.01
19,0.17,0.07,0.1,0.06,0.04,0.02,0.01,0.06,0.05,0.02,0.01,0.01,0.01,0.0,0.08,0.03,0.04,0.0,0.03,0.0,0.06,0.0,0.04,0.04,0.03,0.0,0.0,0.02
20,0.14,0.08,0.11,0.06,0.03,0.04,0.02,0.07,0.02,0.05,0.0,0.0,0.03,0.01,0.02,0.01,0.08,0.0,0.02,0.01,0.03,0.04,0.01,0.03,0.02,0.03,0.01,0.03
21,0.13,0.06,0.03,0.13,0.02,0.05,0.01,0.04,0.04,0.05,0.03,0.0,0.04,0.0,0.06,0.0,0.05,0.0,0.01,0.01,0.03,0.02,0.03,0.04,0.07,0.01,0.02,0.02
22,0.03,0.05,0.06,0.08,0.05,0.06,0.03,0.09,0.01,0.05,0.02,0.0,0.02,0.0,0.05,0.03,0.06,0.01,0.03,0.01,0.05,0.01,0.01,0.08,0.04,0.02,0.0,0.05
23,0.12,0.07,0.02,0.09,0.01,0.04,0.03,0.04,0.01,0.06,0.04,0.0,0.03,0.02,0.05,0.04,0.07,0.02,0.02,0.0,0.04,0.04,0.02,0.02,0.03,0.0,0.01,0.06
24,0.12,0.03,0.04,0.18,0.02,0.04,0.02,0.04,0.01,0.02,0.01,0.01,0.03,0.01,0.08,0.02,0.03,0.0,0.04,0.03,0.03,0.01,0.01,0.09,0.04,0.01,0.0,0.03
25,0.03,0.03,0.04,0.13,0.05,0.06,0.0,0.02,0.01,0.0,0.04,0.02,0.01,0.0,0.08,0.03,0.1,0.01,0.02,0.02,0.04,0.05,0.0,0.03,0.09,0.04,0.01,0.04
