,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.01,0.02,0.04,0.14,0.11,0.08,0.04,0.15,0.02,0.07,0.08,0.01,0.07,0.0,0.02,0.03,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.02,0.04,0.01,0.01,0.0
1,0.0,0.06,0.06,0.03,0.12,0.13,0.04,0.13,0.04,0.06,0.06,0.03,0.05,0.02,0.03,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.0,0.0,0.02,0.0,0.0
2,0.02,0.01,0.05,0.12,0.09,0.08,0.01,0.08,0.03,0.04,0.06,0.02,0.1,0.01,0.06,0.05,0.03,0.05,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.01
3,0.0,0.04,0.08,0.12,0.06,0.03,0.01,0.09,0.03,0.02,0.03,0.0,0.06,0.02,0.05,0.07,0.03,0.07,0.05,0.0,0.01,0.02,0.03,0.05,0.02,0.01,0.0,0.0
4,0.02,0.01,0.04,0.06,0.13,0.09,0.05,0.08,0.04,0.02,0.02,0.0,0.13,0.02,0.03,0.03,0.0,0.03,0.02,0.01,0.02,0.03,0.04,0.06,0.02,0.0,0.0,0.0
5,0.0,0.02,0.07,0.09,0.1,0.04,0.02,0.08,0.01,0.04,0.0,0.0,0.04,0.02,0.01,0.1,0.0,0.06,0.02,0.08,0.01,0.04,0.03,0.04,0.02,0.02,0.02,0.02
6,0.04,0.02,0.13,0.11,0.07,0.04,0.01,0.09,0.01,0.08,0.05,0.0,0.01,0.03,0.03,0.01,0.03,0.04,0.02,0.01,0.01,0.02,0.04,0.05,0.03,0.0,0.02,0.0
7,0.01,0.05,0.13,0.12,0.04,0.09,0.01,0.06,0.0,0.06,0.02,0.02,0.01,0.02,0.05,0.03,0.02,0.03,0.01,0.01,0.01,0.02,0.02,0.06,0.01,0.05,0.0,0.04
8,0.01,0.01,0.07,0.14,0.03,0.14,0.03,0.05,0.01,0.04,0.07,0.0,0.03,0.01,0.06,0.02,0.0,0.04,0.0,0.01,0.02,0.03,0.02,0.07,0.04,0.03,0.0,0.02
9,0.05,0.03,0.08,0.09,0.03,0.06,0.0,0.1,0.0,0.06,0.11,0.0,0.0,0.02,0.02,0.04,0.03,0.06,0.02,0.02,0.01,0.02,0.04,0.07,0.01,0.01,0.01,0.01
10,0.02,0.02,0.1,0.16,0.03,0.09,0.0,0.05,0.03,0.03,0.07,0.0,0.04,0.03,0.03,0.02,0.01,0.07,0.01,0.06,0.01,0.01,0.01,0.06,0.01,0.0,0.01,0.02
11,0.01,0.03,0.03,0.11,0.04,0.08,0.04,0.04,0.02,0.07,0.1,0.02,0.01,0.0,0.03,0.03,0.01,0.05,0.02,0.06,0.04,0.06,0.01,0.01,0.02,0.01,0.03,0.02
12,0.01,0.01,0.13,0.11,0.04,0.1,0.03,0.08,0.02,0.04,0.02,0.0,0.01,0.02,0.08,0.05,0.02,0.04,0.0,0.02,0.01,0.02,0.06,0.02,0.01,0.0,0.0,0.05
13,0.01,0.02,0.11,0.15,0.05,0.04,0.01,0.04,0.0,0.09,0.02,0.01,0.01,0.02,0.07,0.04,0.0,0.04,0.03,0.04,0.05,0.05,0.04,0.02,0.0,0.01,0.01,0.02
14,0.03,0.02,0.01,0.13,0.03,0.07,0.04,0.03,0.01,0.13,0.07,0.02,0.0,0.0,0.01,0.07,0.0,0.05,0.06,0.01,0.05,0.04,0.03,0.01,0.01,0.02,0.01,0.04
15,0.03,0.02,0.05,0.14,0.02,0.07,0.08,0.05,0.02,0.08,0.04,0.01,0.04,0.03,0.08,0.06,0.01,0.04,0.02,0.01,0.0,0.01,0.02,0.0,0.0,0.03,0.02,0.02
16,0.0,0.01,0.05,0.11,0.03,0.06,0.03,0.06,0.03,0.09,0.04,0.01,0.02,0.01,0.02,0.1,0.01,0.07,0.02,0.01,0.04,0.05,0.06,0.03,0.01,0.01,0.02,0.0
17,0.03,0.01,0.03,0.08,0.02,0.13,0.02,0.05,0.01,0.04,0.07,0.03,0.02,0.03,0.04,0.04,0.01,0.1,0.02,0.03,0.01,0.04,0.03,0.0,0.03,0.02,0.05,0.01
18,0.0,0.0,0.06,0.07,0.03,0.1,0.01,0.05,0.01,0.05,0.04,0.01,0.03,0.01,0.06,0.04,0.01,0.11,0.03,0.02,0.05,0.03,0.04,0.02,0.04,0.02,0.05,0.01
19,0.01,0.06,0.05,0.09,0.05,0.08,0.04,0.09,0.02,0.05,0.02,0.02,0.0,0.01,0.05,0.06,0.03,0.06,0.01,0.0,0.03,0.04,0.02,0.02,0.0,0.03,0.04,0.02
20,0.02,0.04,0.05,0.05,0.01,0.06,0.05,0.09,0.01,0.06,0.01,0.0,0.0,0.02,0.04,0.09,0.02,0.08,0.0,0.01,0.09,0.03,0.03,0.01,0.02,0.03,0.07,0.01
21,0.02,0.02,0.01,0.05,0.06,0.1,0.06,0.04,0.04,0.06,0.07,0.01,0.01,0.03,0.03,0.07,0.0,0.01,0.02,0.0,0.03,0.04,0.04,0.03,0.01,0.06,0.06,0.02
22,0.02,0.01,0.01,0.09,0.11,0.09,0.05,0.05,0.01,0.05,0.06,0.01,0.0,0.0,0.05,0.06,0.02,0.03,0.02,0.01,0.05,0.01,0.02,0.04,0.01,0.01,0.04,0.07
23,0.01,0.03,0.03,0.07,0.15,0.04,0.09,0.06,0.02,0.06,0.06,0.08,0.0,0.01,0.04,0.07,0.01,0.03,0.0,0.01,0.02,0.01,0.03,0.01,0.0,0.01,0.03,0.02
24,0.0,0.0,0.0,0.09,0.12,0.07,0.04,0.13,0.02,0.03,0.02,0.03,0.0,0.01,0.06,0.07,0.03,0.03,0.04,0.04,0.04,0.02,0.0,0.01,0.02,0.02,0.01,0.05
25,0.0,0.01,0.0,0.11,0.11,0.05,0.01,0.15,0.0,0.04,0.06,0.03,0.0,0.02,0.08,0.09,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.08
26,0.02,0.09,0.02,0.1,0.09,0.13,0.05,0.09,0.0,0.05,0.01,0.02,0.01,0.01,0.03,0.08,0.02,0.05,0.0,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.01
27,0.02,0.03,0.0,0.08,0.08,0.11,0.09,0.03,0.03,0.04,0.06,0.0,0.0,0.01,0.1,0.09,0.05,0.03,0.03,0.01,0.03,0.04,0.02,0.0,0.0,0.01,0.01,0.0
28,0.02,0.03,0.01,0.15,0.14,0.13,0.02,0.05,0.0,0.02,0.01,0.0,0.01,0.03,0.1,0.05,0.03,0.0,0.02,0.02,0.03,0.02,0.05,0.01,0.0,0.01,0.04,0.0
29,0.03,0.03,0.0,0.1,0.1,0.1,0.04,0.01,0.05,0.04,0.01,0.01,0.01,0.02,0.07,0.09,0.06,0.05,0.01,0.05,0.02,0.02,0.02,0.0,0.01,0.01,0.03,0.01
30,0.06,0.03,0.01,0.09,0.14,0.08,0.04,0.0,0.01,0.03,0.02,0.0,0.0,0.02,0.06,0.08,0.06,0.08,0.0,0.01,0.06,0.04,0.06,0.0,0.0,0.0,0.01,0.01
