,SMB,HML,Regression L2_SMB_return,Regression L1_SMB_return,SVM_SMB_return,RF_SMB_return,MLP_SMB_return,KNN_SMB_return,LSTM_SMB_return,GB_SMB_return,AdaB_SMB_return,GRU_12_SMB_return,Regression L2_HML_return,Regression L1_HML_return,SVM_HML_return,RF_HML_return,MLP_HML_return,KNN_HML_return,LSTM_HML_return,GB_HML_return,Adab_HML_return,GRU_12_HML_return,Regression L2_SMB_or_HML_return,Regression L1_SMB_or_HML_return,SVM_SMB_or_HML_return,RF_SMB_or_HML_return,MLP_SMB_or_HML_return,KNN_SMB_or_HML_return,LSTM_SMB_or_HML_return,GB_SMB_or_HML_return,Adab_SMB_or_HML_return,GRU_12_SMB_or_HML_return
198810,-0.029,0.0171,-0.029,-0.029,-0.029,-0.029,0.029,0.029,0.029,0.029,0.029,-0.029,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171
198811,-0.0174,0.0124,-0.0174,-0.0174,-0.0174,-0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,-0.0174,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,-0.0174,0.0124,0.0124,0.0124,0.0124
198812,0.0195,-0.0155,0.0195,-0.0195,0.0195,-0.0195,-0.0195,-0.0195,-0.0195,-0.0195,-0.0195,0.0195,-0.0155,-0.0155,-0.0155,-0.0155,-0.0155,-0.0155,-0.0155,0.0155,-0.0155,-0.0155,-0.0155,-0.0155,-0.0155,-0.0155,-0.0155,0.0195,-0.0155,-0.0155,-0.0155,-0.0155
198901,-0.0214,0.0051,-0.0214,-0.0214,-0.0214,-0.0214,0.0214,0.0214,0.0214,-0.0214,-0.0214,-0.0214,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,-0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,-0.0214,0.0051
198902,0.0276,0.0087,0.0276,0.0276,0.0276,0.0276,-0.0276,-0.0276,-0.0276,-0.0276,-0.0276,0.0276,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,-0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087
198903,0.0074,0.0046,-0.0074,-0.0074,-0.0074,-0.0074,-0.0074,-0.0074,-0.0074,-0.0074,-0.0074,0.0074,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,-0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046
198904,-0.0059,-0.0145,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,-0.0059,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145,-0.0145
198905,-0.0004,-0.0082,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,-0.0004,0.0004,-0.0004,-0.0082,-0.0082,-0.0082,-0.0082,-0.0082,-0.0082,-0.0082,-0.0082,-0.0082,-0.0082,-0.0082,-0.0082,-0.0082,-0.0082,-0.0082,-0.0004,-0.0082,-0.0004,-0.0004,-0.0082
198906,-0.0101,0.0219,0.0101,0.0101,0.0101,0.0101,0.0101,0.0101,-0.0101,0.0101,0.0101,-0.0101,0.0219,0.0219,0.0219,0.0219,0.0219,0.0219,0.0219,0.0219,-0.0219,0.0219,0.0219,0.0219,0.0219,0.0219,-0.0101,0.0219,0.0219,0.0219,-0.0101,0.0219
198907,-0.0402,-0.0284,0.0402,0.0402,0.0402,0.0402,0.0402,0.0402,-0.0402,0.0402,0.0402,-0.0402,-0.0284,-0.0284,-0.0284,-0.0284,-0.0284,-0.0284,-0.0284,-0.0284,-0.0284,-0.0284,-0.0284,-0.0284,-0.0284,-0.0284,-0.0402,-0.0402,-0.0284,-0.0284,-0.0284,-0.0284
198908,0.005,0.0072,-0.005,0.005,-0.005,0.005,-0.005,-0.005,0.005,-0.005,-0.005,0.005,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.005,0.005,0.0072,0.0072,0.0072,0.0072
198909,0.0028,-0.0134,-0.0028,-0.0028,-0.0028,-0.0028,-0.0028,-0.0028,0.0028,-0.0028,-0.0028,0.0028,-0.0134,-0.0134,-0.0134,-0.0134,-0.0134,-0.0134,-0.0134,-0.0134,0.0134,-0.0134,-0.0134,-0.0134,-0.0134,-0.0134,0.0028,-0.0134,-0.0134,-0.0134,-0.0134,-0.0134
198910,-0.033,-0.0103,0.033,0.033,0.033,0.033,0.033,0.033,0.033,-0.033,0.033,0.033,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.033,-0.033,-0.0103,-0.033,-0.0103,-0.0103
198911,-0.0124,-0.0112,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124,-0.0124,0.0124,-0.0112,-0.0112,-0.0112,-0.0112,-0.0112,-0.0112,-0.0112,0.0112,0.0112,-0.0112,-0.0112,-0.0112,-0.0112,-0.0112,-0.0124,-0.0112,-0.0112,-0.0124,-0.0112,-0.0112
198912,-0.0241,0.0028,0.0241,0.0241,0.0241,0.0241,0.0241,0.0241,0.0241,-0.0241,0.0241,0.0241,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,-0.0028,-0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,-0.0241,-0.0241,0.0028,-0.0241,-0.0241,0.0028
