,SMB,HML,SMB_bin,HML_bin,SMB_1yr_future_return,HML_1yr_future_return,SMB_yr_bin,HML_yr_bin,Mkt-RF_prev,RF_prev,SMB_prev_month,HML_prev_month,SMB_prev_year,HML_prev_year,12m_nom_gdp_forecast,12m_ip_growth_forecast,12m_cpi_forecast,12m_real_gdp_forecast_calculated,12m_real_ip_growth_calculated,12m_unemployment_rate,year_of_deficit_pct_gdp,shiller_cape,seasoned_corp_bond_yield_prev_month,ttm_pe_previous_month,sp500_return_prev_month,sp500_return_prev_yr,TS_Slope_Change_prev,TS_Level_Change_prev,Business_Confidence_chg_prev,IP_chg_prev,Spread_chg_prev,Div_yield_chg_prev,12m_nom_gdp_forecast_changerate,12m_ip_growth_forecast_changerate,12m_cpi_forecast_changerate,12m_unemployment_rate_changerate
195201,-0.0061,0.0154,0,1,-0.061746329,0.031361891,0,1,0.0333,0.0012,-0.0225,-0.0156,-0.041575892,-0.045116682,0.068376068,0.057077626,0.024546425,0.043829644,0.032531201,0.031,-0.41351,12.15,0.0301,0.071293103,0.038898647,0.164625184,-0.0033,0.00135,-0.006021618,0.00632081,0,0.036211699,0,0,0,0
195202,0.0079,-0.0061,1,0,-0.022192221,0.029127307,0,1,0.0145,0.0015,-0.0061,0.0154,-0.063621625,-0.06518654,0.068376068,0.057077626,0.024546425,0.043829644,0.032531201,0.031,-0.41351,12.53,0.0298,0.072239555,0.015565797,0.114496722,0.0033,-0.00225,-0.009646898,0.01098627,0.016666667,-0.057795699,0,0,0,0
195203,-0.0299,0.0216,0,1,-0.008998267,0.034615158,0,1,-0.0262,0.0012,0.0079,-0.0061,-0.05707287,-0.04382927,0.068376068,0.057077626,0.024546425,0.043829644,0.032531201,0.031,-0.41351,12.36,0.0293,0.073130415,-0.036453978,0.066972526,-0.0001,0.00055,-0.01182775,0.006212852,-0.016393443,-0.025677603,0,0,0,0
195204,0.0048,-0.001,1,0,0.01960502,0.004638054,1,1,0.0444,0.0011,-0.0299,0.0216,-0.079374387,0.019862202,0.068376068,0.057077626,0.024546425,0.043829644,0.032531201,0.031,-0.41351,12.36,0.0296,0.073206751,0.047721453,0.138785093,0.0005,-0.00025,-0.010433325,0.003087245,-0.083333333,0.029282577,0,0,0,0
195205,-0.0101,0.0008,0,1,0.017575551,0.021030047,1,1,-0.0497,0.0012,0.0048,-0.001,-0.060963744,-0.013514388,0.068376068,0.057077626,0.024546425,0.043829644,0.032531201,0.031,-0.41351,12.24,0.0293,0.073516383,-0.0430858,0.039679001,-0.002,-1.00E-04,-0.004753114,-0.009233231,0.036363636,-0.004267425,0,0,0,0
195206,-0.0161,0.0123,0,1,0.027238356,0.022560368,1,1,0.032,0.0013,-0.0101,0.0008,-0.070355046,0.000582548,0.021783927,0.009090909,-0.003709592,0.025493519,0.012800501,0.03,-0.41351,12.2,0.0293,0.074255133,0.023156132,0.108736106,-0.0015,0.00035,0.007929137,-0.009319278,-0.01754386,0.007142857,-0.046592141,-0.047986717,-0.028256017,-0.001
195207,-0.004,-0.0035,0,0,0.024628237,0.005388061,1,1,0.0383,0.0015,-0.0161,0.0123,-0.067131392,0.054654013,0.021783927,0.009090909,-0.003709592,0.025493519,0.012800501,0.03,-0.41351,12.45,0.0294,0.073779528,0.046102177,0.190839704,0,0.0004,0.019156605,-0.009401284,0,0.026950355,-0.046592141,-0.047986717,-0.028256017,-0.001
195208,0.0118,0.0003,1,1,0.017941406,0.006497872,1,1,0.0091,0.0015,-0.004,-0.0035,-0.051997619,0.030254606,0.021783927,0.009090909,-0.003709592,0.025493519,0.012800501,0.03,-0.41351,12.67,0.0295,0.066846154,0.017628246,0.133928571,-0.0004,0.0008,0.025769518,-0.01582132,-0.017857143,-0.026243094,-0.046592141,-0.047986717,-0.028256017,-0.001
195209,0.0115,-0.0151,1,0,0.009691634,-0.029423326,1,0,-0.0076,0.0015,0.0118,0.0003,-0.050214071,0.032215227,0.021783927,0.009090909,-0.003709592,0.025493519,0.012800501,0.03,-0.41351,12.68,0.0294,0.069285714,-0.01456689,0.075171818,0.0006,0.0006,0.02391801,0.064308439,0.036363636,-0.04964539,-0.046592141,-0.047986717,-0.028256017,-0.001
195210,-0.0106,-0.0045,0,0,-0.01027261,-0.038390985,0,0,-0.0203,0.0016,0.0115,-0.0151,-0.057204645,0.010464941,0.021783927,0.009090909,-0.003709592,0.025493519,0.012800501,0.03,-0.41351,12.43,0.0295,0.070147059,-0.019576507,0.055030138,0.0038,-0.0008,0.00785913,0.036252557,0,-0.034328358,-0.046592141,-0.047986717,-0.028256017,-0.001
195211,-0.0071,0.0095,0,1,-0.013373636,-0.0358795,0,0,-0.0066,0.0014,-0.0106,-0.0045,-0.065141587,0.003409325,0.021783927,0.009090909,-0.003709592,0.025493519,0.012800501,0.03,-0.41351,12.13,0.0301,0.071992754,-0.000815037,0.06887528,-0.0029,5.00E-05,0.001229479,0.010206821,-0.070175439,-0.018547141,-0.046592141,-0.047986717,-0.028256017,-0.001
195212,-0.0148,0.0018,0,1,-0.019136989,-0.046576033,0,0,0.0594,0.001,-0.0071,0.0095,-0.069079412,0.013448438,0.019219569,-0.01,-0.009952855,0.029172424,-4.71E-05,0.027,-0.41351,12.47,0.0298,0.070821429,0.046492659,0.121503546,-0.0019,0.00085,-1.47E-05,0.020196967,0.037735849,0.003149606,-0.002564358,-0.019090909,-0.006243263,-0.003
195301,0.0358,0.0132,1,1,-0.012765162,-0.075317701,0,0,0.0293,0.0016,-0.0148,0.0018,-0.061746329,0.031361891,0.019219569,-0.01,-0.009952855,0.029172424,-4.71E-05,0.027,-1.66822,12.93,0.0297,0.069542254,0.035463757,0.117795541,-0.0027,0.00155,-0.000214161,0.00565924,-0.018181818,-0.054945055,-0.002564358,-0.019090909,-0.006243263,-0.003
195302,0.0215,-0.0008,1,0,-0.0425023,-0.055330984,0,0,-0.0034,0.0016,0.0358,0.0132,-0.022192221,0.029127307,0.019219569,-0.01,-0.009952855,0.029172424,-4.71E-05,0.027,-1.66822,13.01,0.0302,0.07477077,-0.00715096,0.09279205,0.0041,-0.00095,-0.001024852,0.002813697,-0.092592593,-0.029900332,-0.002564358,-0.019090909,-0.006243263,-0.003
195303,-0.0019,-0.008,0,0,-0.064248699,-0.057221834,0,0,-0.0027,0.0014,0.0215,-0.0008,-0.008998267,0.034615158,0.019219569,-0.01,-0.009952855,0.029172424,-4.71E-05,0.027,-1.66822,12.86,0.0307,0.07764715,-0.018195566,0.11349957,-0.0008,0.0011,-0.008242636,0.005611604,-0.06122449,0.020547945,-0.002564358,-0.019090909,-0.006243263,-0.003
195304,0.0028,0.0153,1,1,-0.067061297,-0.06349435,0,0,-0.0143,0.0018,-0.0019,-0.008,0.01960502,0.004638054,0.019219569,-0.01,-0.009952855,0.029172424,-4.71E-05,0.027,-1.66822,12.83,0.0312,0.076431095,-0.023552085,0.037751332,0.0016,-0.0002,-0.011052431,0.008365398,-0.02173913,0,-0.002564358,-0.019090909,-0.006243263,-0.003
195305,-0.0007,0.0023,0,1,-0.102041846,-0.081019818,0,0,-0.0283,0.0016,0.0028,0.0153,0.017575551,0.021030047,0.019219569,-0.01,-0.009952855,0.029172424,-4.71E-05,0.027,-1.66822,12.16,0.0323,0.078472647,-0.026492684,0.055746184,-0.0021,0.00175,-0.007595114,0.004150497,-0.066666667,0.010067114,-0.002564358,-0.019090909,-0.006243263,-0.003
195306,-0.0186,-0.0047,0,0,-0.097908345,-0.060573586,0,0,0.0052,0.0017,-0.0007,0.0023,0.027238356,0.022560368,-0.030470914,-0.070247934,-0.016307207,-0.014163707,-0.053940727,0.025,-1.66822,12.14,0.0334,0.079552504,-0.003249391,0.02849958,0.0033,0.00055,-0.006510116,0.005511122,0.047619048,0.008305648,-0.049690483,-0.060247934,-0.006354352,-0.002
195307,-0.0105,-0.0024,0,0,-0.077042765,-0.056420591,0,0,-0.0189,0.0018,-0.0186,-0.0047,0.024628237,0.005388061,-0.030470914,-0.070247934,-0.016307207,-0.014163707,-0.053940727,0.025,-1.66822,11.62,0.034,0.079227941,-0.016299999,-0.032852565,0.0031,-0.00095,-0.006404473,-0.004110687,0.045454545,-0.019769357,-0.049690483,-0.060247934,-0.006354352,-0.002
