Country,Capital,Latitude,Longitude,Lat,Lon
Afghanistan,Kabul,34.28N,69.11E,34.28,69.11
Albania,Tirane,41.18N,19.49E,41.18,19.49
Algeria,Algiers,36.42N,03.08E,36.42,3.08
American Samoa,Pago Pago,14.16S,170.43W,-14.16,189.6
Andorra,Andorra la Vella,42.31N,01.32E,42.31,1.32
Angola,Luanda,08.50S,13.15E,-8.5,13.15
Antigua and Barbuda,West Indies,17.20N,61.48W,17.2,298.52
Argentina,Buenos Aires,36.30S,60.00W,-36.3,300
Armenia,Yerevan,40.10N,44.31E,40.1,44.31
Aruba,Oranjestad,12.32N,70.02W,12.32,289.98
Australia,Canberra,35.15S,149.08E,-35.15,149
Austria,Vienna,48.12N,16.22E,48.12,16.22
Azerbaijan,Baku,40.29N,49.56E,40.29,49.56
Bahamas,Nassau,25.05N,77.20W,25.05,282.8
Bahrain,Manama,26.10N,50.30E,26.1,50.3
Bangladesh,Dhaka,23.43N,90.26E,23.43,90.26
Barbados,Bridgetown,13.05N,59.30W,13.05,300.7
Belarus,Minsk,53.52N,27.30E,53.52,27.3
Belgium,Brussels,50.51N,04.21E,50.51,4.21
Belize,Belmopan,17.18N,88.30W,17.18,271.7
Benin,Porto Novo (constitutional) / Cotonou (seat of government),06.23N,02.42E,6.23,2.42
Bhutan,Thimphu,27.31N,89.45E,27.31,89.45
Bolivia,La Paz (administrative) / Sucre (legislative),16.20S,68.10W,-16.2,291.9
Bosnia and Herzegovina,Sarajevo,43.52N,18.26E,43.52,18.26
Botswana,Gaborone,24.45S,25.57E,-24.45,25.57
Brazil,Brasilia,15.47S,47.55W,-15.47,312.45
British Virgin Islands,Road Town,18.27N,64.37W,18.27,295.63
Brunei Darussalam,Bandar Seri Begawan,04.52N,115.00E,4.52,115
Bulgaria,Sofia,42.45N,23.20E,42.45,23.2
Burkina Faso,Ouagadougou,12.15N,01.30W,12.15,358.7
Burundi,Bujumbura,03.16S,29.18E,-3.16,29.18
Cambodia,Phnom Penh,11.33N,104.55E,11.33,104.5
Cameroon,Yaounde,03.50N,11.35E,3.5,11.35
Canada,Ottawa,45.27N,75.42W,45.27,284.58
Cape Verde,Praia,15.02N,23.34W,15.02,336.66
Cayman Islands,George Town,19.20N,81.24W,19.2,278.76
Central African Republic,Bangui,04.23N,18.35E,4.23,18.35
Chad,N'Djamena,12.10N,14.59E,12.1,14.59
Chile,Santiago,33.24S,70.40W,-33.24,289.6
China,Beijing,39.55N,116.20E,39.55,116.2
Colombia,Bogota,04.34N,74.00W,4.34,286
Comoros,Moroni,11.40S,43.16E,-11.4,43.16
Congo,Brazzaville,04.09S,15.12E,-4.09,15.12
Costa Rica,San Jose,09.55N,84.02W,9.55,275.98
Cote d'Ivoire,Yamoussoukro,06.49N,05.17W,6.49,354.83
Croatia,Zagreb,45.50N,15.58E,45.5,15.58
Cuba,Havana,23.08N,82.22W,23.08,277.78
Cyprus,Nicosia,35.10N,33.25E,35.1,33.25
Czech Republic,Prague,50.05N,14.22E,50.05,14.22
Democratic Republic of the Congo,Kinshasa,04.20S,15.15E,-4.2,15.15
Denmark,Copenhagen,55.41N,12.34E,55.41,12.34
Djibouti,Djibouti,11.08N,42.20E,11.08,42.2
Dominica,Roseau,15.20N,61.24W,15.2,298.76
Dominica Republic,Santo Domingo,18.30N,69.59W,18.3,290.41
East Timor,Dili,08.29S,125.34E,-8.29,125.3
Ecuador,Quito,00.15S,78.35W,-0.15,281.65
Egypt,Cairo,30.01N,31.14E,30.01,31.14
El Salvador,San Salvador,13.40N,89.10W,13.4,270.9
Equatorial Guinea,Malabo,03.45N,08.50E,3.45,8.5
Eritrea,Asmara,15.19N,38.55E,15.19,38.55
