,Index,Title,Year,Total Words,Positive Words,Negative Words
0,0,Home prices plunge in Metro but 10% rise expected in 1988,1988,145,1,0
0,1,"Metro housing costs deterring job seekers, survey finds",1988,116,1,1
0,2,First-time home buyers now a rare breed Survey finds high cost of Metro housing is the main reason for declining numbers,1988,118,0,1
0,3,February home sales lower than last year,1988,55,3,0
0,4,Home prices story no help to consumers,1988,63,0,1
0,5,Major Japanese investors enter real estate market,1988,104,1,0
0,6,Are Catholics heeding Carter's homeless plea?,1988,184,4,0
0,7,"Beware shifty agents, homebuyers urged",1988,143,3,0
0,8,Premier calls housing crisis Ontario's 'sweet headache',1988,113,7,6
0,9,Median house prices Hot housing market sizzles on,1988,25,0,0
0,10,Home sales seen strong despite prime rate hike,1988,78,1,2
0,11,Moving to Metro too costly for worker,1988,211,3,6
0,12,Cooling house prices,1988,77,5,4
0,13,New home sales take a 38% fall in Toronto area,1988,45,0,0
0,14,Most major world cities experiencing real estate boom,1988,94,3,4
0,15,"Metro home prices take first fall since May, '87",1988,90,0,0
0,16,Home ownership for young couples a dying dream: poll,1988,77,4,2
0,17,Home prices rising again in Metro area,1988,54,1,0
0,18,Toronto area new home sales soar 31% in August,1988,103,4,1
0,19,Toronto's house-rich get wealthier,1988,147,4,7
0,20,Builder feels housing sales are cooling off,1988,92,0,1
0,21,Experts fear real estate market slump,1988,155,3,4
0,22,August resale home sales hit highest Canadian level,1988,69,1,0
0,23,Empty nesters face many choices in home-buying,1988,175,10,7
0,24,"Housing 'bubble' ready to burst, Pillsbury president tells builders",1988,121,1,7
0,25,Some predict baby-boomers will shoot down house prices,1988,177,4,7
0,26,Metro home sales leap as prices stay stable,1988,79,1,0
0,27,Ottawa firm strengthens real estate market role,1988,84,1,0
0,28,Thousands wainting for subsidized units in Region of Peel,1988,108,2,3
0,29,Here are ways to cut new house prices by 50%,1988,129,3,4
0,30,Two incomes for mortgages more likely than in 1977,1988,126,0,1
0,31,Major banks lower rates on mortgages,1988,106,0,1
0,32,Metro house prices surge,1988,23,0,0
0,33,Province urged to put 65% tax on speculators in house crunch,1988,94,2,3
0,34,Boom in home prices sets another record in hot Metro market,1988,99,0,0
0,35,Savings plan for new homebuyers succeeds where federal one failed,1988,105,3,1
0,36,"'Some vendors are going wild,' official says High price tags slowing home sales",1988,97,3,3
0,37,"Market 'adjustment' is coming, analyst says",1988,119,0,2
0,38,Housing experts feel Metro market is due for downturn,1988,180,4,7
0,39,Metro house prices could taper off soon industry experts say,1988,91,4,2
0,40,'Affordable' Peterborough,1988,160,3,2
0,41,Mortgage hikes spreading,1988,95,2,3
0,42,'Yellow peril' conjecture is just a convenient myth,1988,81,3,2
0,43,"Mortgages go up again, buying boom 'will cool'",1988,74,1,0
0,44,Toronto home prices create crisis MPs told,1988,70,2,2
0,45,Real estate agent's ethics leave former owner fuming,1988,106,2,2
0,46,New homebuyers in Etobicoke penalized with high lot levies,1988,33,0,3
0,47,Metro new home sales post a drop in month,1988,65,4,1
0,48,June dip in Metro home prices first this year,1988,113,0,0
0,49,Government action helps to perpetuate high housing costs,1988,160,0,1
0,50,New home prices rose 0.9% during June,1988,101,2,3
0,51,Prices soar as housing fever grips Britian,1988,154,3,6
0,52,Bank hikes mortgage rates,1988,98,2,1
0,53,You can't simply blame builders for high housing costs,1988,112,1,1
0,54,Lower prices attract homebuyers to Newcastle,1988,180,9,1
0,55,Some tips on home-buying to remember,1988,229,12,4
0,56,House prices soar in Beaches,1988,125,0,1
0,57,Tories vow aid to homebuyers hurt by tax,1988,103,3,5
0,58,Barrie home prices may make the drive worth it,1988,205,7,0
0,59,"Free trade collapse seen cooling economy And Metro home prices could plummet 20 per cent, economist predicts",1988,111,4,4
0,60,Rising land costs -- not free trade-- affect home prices,1988,130,9,4
0,61,The 40-year quest for affordable housing,1988,151,5,5
0,62,Couple pins their hopes on Charette home design,1988,200,3,5
0,63,Why house prices rise,1988,13,0,0
0,64,Better laws coming for buyers,1988,128,1,3
0,65,Median house prices in Metro Toronto,1988,24,1,0
0,66,Empty words from province on housing,1988,88,4,1
0,67,"New Metro home sales in 1987 plunge 13,000 from '86 boom",1988,58,1,0
0,68,Home prices headline doesn't reflect reality,1988,30,0,1
0,69,Rental shortage lifts sales of homes,1988,105,2,2
0,70,"U.S. factory orders, home sales fall",1988,53,0,3
0,71,Experts say new homes are expensive but buyers end up winners when they sell The gold-plated lure of bricks and mortar,1988,111,0,0
0,72,Feature on Metro home prices is scheduled to return soon,1988,27,0,0
0,73,Municipalities' high lot levies outrage Lastman,1988,92,2,2
0,74,New house prices rise by up to 10% in March spree,1988,110,2,1
0,75,Builder group provides home sales figures,1988,11,0,1
0,76,Landlords lobbying for shelter allowance to replace rent rules,1988,69,3,2
0,77,"Housing needs higher priority, more funds critics charge",1988,115,3,2
0,78,Budget another kick at middle class,1988,137,3,2
0,79,Home sales climb in U.S. by 4 per cent,1988,42,1,0
0,80,Will floating office beat Tokyo land prices?,1988,99,1,3
0,81,"Stouffville less popular, and prices accordingly Homebuyers may find a better buy in this nearby low-profile community",1988,85,1,0
0,82,Ottawa 'still evaluating' plan for Metro housing,1988,75,2,2
0,83,Downsview air base land should be leased,1988,51,1,2
0,84,Canadian mortgages discourage homebuyers,1988,28,1,1
0,85,For Saturday New In Homes front page story,1988,95,1,1
0,86,Building costs seen raising home prices,1988,103,0,0
0,87,Big bank announces mortgage rate hike,1988,80,0,1
0,88,Town 'penalizing' new homebuyers developers charge,1988,84,3,0
0,89,Pickering has much to offer homebuyers,1988,162,7,0
0,90,Mercedes stirs up airwaves with ads Luxury maker's radio pitch seeks first-time buyers,1988,106,1,1
0,91,Stock markets charge ahead on bad news for job seekers,1988,168,4,2
0,92,Buying a new home: One couple's story,1988,144,1,1
0,93,Metro new home sales up 32% A rapid pace set by buyers in September,1988,88,3,0
0,94,LePage sees 7% hike in Metro house prices,1988,132,4,1
0,95,"First Investors can't blame real estate slump, probe told",1988,127,0,6
0,96,Free trade support wins for Redway,1988,100,3,2
0,97,New-home sales figures are topping expectations,1988,51,1,0
0,98,Toronto's 5.9% inflation highest in Canada,1988,85,1,0
0,99,"Pockets of high inflation can hurt but they can spread the boom, too",1988,134,2,5
0,100,'87 homes sales held steady U.S. reports,1988,120,7,5
0,101,Homes are selling 'thick and fast' as market surges,1988,119,0,0
0,102,Decades of design shape modern house,1988,143,2,1
0,103,Housing crisis disturbs councillor,1988,91,3,3
0,104,"Durham boom inflates housing prices New home buyers pay the price as demand grows, supply falls",1988,105,2,1
0,105,United Way has plan for action on housing crisis,1988,111,2,0
0,106,Principal review may have misled founder admits,1988,115,1,3
0,107,Frenzy hits as buyers rush luxury rural homes,1988,137,4,3
0,108,Lower housing prices draw buyers to Barrie,1988,75,0,0
0,109,[ When Jeanne Cooper (Katherine Chancellor on Y&amp;R) found she ...],1988,198,12,2
0,110,City council seeking 65% capital gains tax on house speculators,1988,107,2,1
0,111,Skyrocketing prices destroy couple's dream of buying first home,1988,229,4,3
0,112,Housing: Can we ease the squeeze? FINDING A HOME THE DYING DREAM,1988,204,6,5
0,113,There are houses couple can afford,1988,66,2,0
0,114,Ajax has modern spirit and hometown values,1988,107,1,0
0,115,Inflation rate edges up to 4.9% in Metro,1988,42,1,0
0,116,Brampton's location is its big selling feature,1988,126,0,0
0,117,Bramalea pays $100 million to Campeau for buildings,1988,64,1,0
0,118,The world's luxury housing boom surges on despite October's crash,1988,132,7,1
0,119,Toronto cost of living less than other cities,1988,130,3,1
0,120,Cooling-off time urged on house purchases,1988,78,0,3
0,121,Housing ministry's latest proposal is just pie in the sky,1988,141,4,0
0,122,Mayor regrets a Metro for rich only,1988,96,0,2
0,123,"When Tories turn to housing they cause anger, confusion Ottawa has dragged its feet on one plan and appears to have no other strategies to ease Metro woes",1988,206,5,12
0,124,Canada now top real estate choice of Hong Kong's wealthy emigrants,1988,157,1,5
0,125,Purchaser withholds 10% on Florida property deal,1988,173,5,4
0,126,Interest rates rise but buying a home still makes sense,1988,189,5,9
0,127,"Turner pledges tax cuts for homeowners, tenants",1988,158,6,1
0,128,A housing plan that could spell R E L I E F,1988,200,3,2
0,129,Milton will expand when the time is right,1988,156,4,0
0,130,Couple finds it pays to buy home,1988,97,0,0
0,131,Performers join forces to keep cabaret alive,1988,133,1,0
0,132,What's in store for '88? Welcome Year of the Curve,1988,154,1,0
0,133,Home builders bemoan Ontario's plan to rate them,1988,104,3,2
0,134,Board buys ads to warn of crowded classrooms,1988,105,1,0
0,135,Letters to the Editor: Ideas for solving housing shortage,1988,97,5,0
0,136,Builders offer chance to win down payment,1988,109,2,0
0,137,No cop-outs! Market value assessment only way to go,1988,149,2,1
0,138,A sensible no-cost answer to the housing crisis,1988,117,2,3
0,139,House sales set record in Metro,1988,32,0,0
0,140,Cormie admits error over mortgage limits for Principal in '80s,1988,103,3,3
0,141,Lower your sights if home-hunting on a budget,1988,129,0,0
0,142,Hamilton housing statistics missed,1988,32,0,1
0,143,Now mortgages start going up More bad consumer news,1988,115,1,3
0,144,Disabled group joins fight against supermailboxes,1988,60,0,1
0,145,Outlying areas now hot spots for homes,1988,71,0,0
0,146,Housing boom in 4th year,1988,123,6,2
0,147,Amenities are also selling point,1988,101,2,1
0,148,What makes a home in the Metro area so expensive,1988,134,2,2
0,149,Prime rate rise means big increase in consumer loan costs,1988,113,1,1
0,150,"Toronto, N.Y. markets soar despite rise in interest rates",1988,162,5,2
0,151,Building strikes haven't yet hurt area's economy,1988,99,3,6
0,152,"MEDIAN HOUSE PRICE HITS $203,044",1988,16,0,0
0,153,Are you cut out to act as the agent selling your home?,1988,86,2,1
0,154,Groups pitch in as more jobless drain food banks,1988,92,2,2
0,155,Severe housing shortage exacts a heavy social cost,1988,121,1,12
0,156,Window costs rose highest over year,1988,85,3,0
0,157,Who will benefit from oil deal?,1988,115,2,2
0,158,City offers a wealth of amenities,1988,94,3,0
0,159,METRO HOUSING PRICES,1988,24,0,0
0,160,For Saturday New In Homes Doubletruck run type through gutter E32/ 33,1988,168,0,3
0,161,"Metro housing help on way, PM says",1988,63,2,2
0,162,Port Perry hospital plans expansion,1988,74,3,1
0,163,Major bank trims rates on mortgages,1988,85,0,0
0,164,Inflation rate at 4.1 per cent,1988,108,2,2
0,165,Builder's donation aids Variety Village,1988,101,3,0
0,166,Hosek blasts Ottawa on housing policies,1988,100,2,0
0,167,NDP says tax plan raises home cost 9%,1988,83,1,1
0,168,MEDIAN PRICE CLIMBS 3.5%,1988,19,0,0
0,169,Tax losses put at $1 billion per year,1988,81,2,1
0,170,"Debt load, high interest rates seen brewing double trouble",1988,144,2,8
0,171,Second sawmill in week closes blaming softwood export tax,1988,75,1,2
0,172,Ontario criticized for opposing group home bylaw,1988,86,0,4
0,173,Thanks for phenomenal response to food bank,1988,153,9,5
0,174,Experts see interest rate as key to 1989,1988,120,1,0
0,175,"At last, we're going to become a BIG city",1988,148,3,5
0,176,What's in store for '88? Welcome Year of the Curve,1988,154,1,0
0,177,York growth big challenge for new year,1988,104,2,0
0,178,Survey predicts boost of 7% in 1988 prices of Canadian homes,1988,83,0,1
0,179,Don't put all coupon eggs in one condo basket,1988,217,3,2
0,180,There's no quick fix for Metro renters longing for homes,1988,167,4,5
