year,value,cpi_all_items
1981,32.5,51.8
1982,30.7,56.6
1983,30.5,59.2
1984,30.8,61.4
1985,32.5,64.1
1986,41,66.8
1987,48.2,69.6
1988,61,72.3
1989,67.3,76.1
1990,59.1,79.9
1991,53.2,82.9
1992,51,84.7
1993,50.2,86.1
1994,50.5,86.3
1995,50.5,87.8
1996,50.1,89.7
1997,52.1,90.4
1998,53.2,91.3
1999,54.5,93.7
2000,55.8,96.7
2001,57,97.4
2002,59.5,101.1
2003,62.7,103.2
2004,66,105.4
2005,68.7,107.6
2006,71.1,109.4
2007,73.5,112
2008,74.9,113.3
2009,75.7,114.8
2010,77.4,117.5
2011,82.3,120.2
2012,85.6,121.2
2013,86.8,122.7
2014,88.9,124.5
2015,92.6,126.5
2016,100,128.4
2017,104.7,130.8
2018,103.3,134.1
