,Index,Title,Year,Total Words,Positive Words,Negative Words
0,0,City budget strains vulnerable citizens,2017,63,0,2
0,1,"Paying more at pumps, welcome to 2017",2017,36,0,1
0,2,What to do when your neighbour's an Airbnb?,2017,51,2,1
0,3,Property tax debates are political reality,2017,69,3,1
0,4,Honest Ed's will be missed,2017,30,1,1
0,5,Vancouver solution needed,2017,41,0,1
0,6,"Stop the cuts, raise taxes",2017,37,0,0
0,7,Housing solution could be hiding in our backyards,2017,40,0,1
0,8,Lustre of luxury market greatly restored in GTA,2017,57,0,1
0,9,Family right at home in their garage,2017,80,5,1
0,10,Property tax debate stiffens,2017,34,1,0
0,11,No day like today to buy a house,2017,36,0,0
0,12,Semi home price soars 62% in two years,2017,43,1,0
0,13,City is wrong to choose roads over community housing,2017,37,1,2
0,14,Skiing cottage perfect for all seasons,2017,82,3,0
0,15,Ex-model home has the high-end touches,2017,35,1,0
0,16,Brady-Rodgers Super Bowl duel? Why not,2017,60,3,3
0,17,First-time buyers spared in tax plan,2017,31,2,0
0,18,CORPORATE EXPOSURE,2017,36,1,0
0,19,Reno with a due date,2017,206,9,1
0,20,The furniture industry's fragile comeback,2017,208,5,5
0,21,Time is now to tackle the housing supply crunch,2017,75,3,1
0,22,Tory sees silver lining for housing,2017,80,2,2
0,23,Huge salary boost for OPG's top executives,2017,75,1,2
0,24,Province OKs $8M in hikes for OPG brass,2017,75,1,2
0,25,GO expansion could increase property values,2017,83,3,1
0,26,Refunds cost GO millions over 3 years,2017,80,2,2
0,27,Foreign property investment data under scrutiny,2017,221,4,5
0,28,Co-living could answer housing woes across GTA,2017,77,1,2
0,29,Luxury hits a high in Bay Street executive suite,2017,88,1,0
0,30,Millennials can find financial freedom,2017,79,3,0
0,31,Home prices up 22% compared to last year,2017,128,2,1
0,32,Who's minding the children?,2017,265,7,12
0,33,Tory presses premier to help with daycare,2017,75,2,0
0,34,"In T.O., we patch with duct tape",2017,163,4,8
0,35,Inspiring a real-estate revolution,2017,77,4,1
0,36,No time for a raise,2017,85,3,0
0,37,Airbnb says city receives $417M boost annually,2017,132,2,1
0,38,Luxury projects rule the city's condo market,2017,81,0,0
0,39,The seven Ls of good conversation,2017,76,4,1
0,40,'THIS IS WRONG. THIS IS NOT WHAT YOU DO TO A COMMUNITY',2017,81,1,5
0,41,Toronto-area market may be 'overheating',2017,78,1,3
0,42,"GTA keeps growing, but housing supply is dwindling",2017,81,0,0
0,43,Buyers and agents approach resident in hot neighbourhood,2017,72,3,2
0,44,Crucial next steps toward that nest egg,2017,153,6,5
0,45,Inaction builds invisible wall around the GTA,2017,161,7,2
0,46,Canada's banks will see solid profit growth,2017,77,5,0
0,47,Real estate agents flout laws by entertaining bully bids in secret,2017,89,2,1
0,48,Average new GTA home hits $1M,2017,154,2,1
0,49,Torontonians aren't making out like bandits on property tax,2017,207,1,8
0,50,Time to acknowledge GTA's housing problem,2017,80,3,0
0,51,Building a home &amp;amp; career,2017,198,7,2
0,52,T.O. home prices in line with other global cities,2017,81,3,2
0,53,Too much money for too few riders,2017,159,3,1
0,54,Wine &amp;amp; Dining in today's Hong Kong,2017,166,7,3
0,55,U.S. election has been good news for banks,2017,74,2,0
0,56,GTA real estate costs soar,2017,78,3,0
0,57,Report proposes permits for Airbnb landlords,2017,76,0,2
0,58,New data sheds light on Chinese interest in GTA real estate,2017,146,4,2
0,59,Airbnb takes real renters' stories to airwaves,2017,78,1,2
0,60,Environmental group slams developers,2017,75,1,1
0,61,Tory warns against ignoring city needs &amp;gt; More Inside,2017,80,2,6
0,62,Meeting set on hot housing market,2017,51,2,0
0,63,SmartTrack could lower ridership,2017,171,2,1
0,64,NDP proposes more rent control,2017,78,2,1
0,65,Time to cool the boom in house prices,2017,154,3,3
0,66,Gentle density rising to meet demands,2017,77,0,0
0,67,Renters need protection,2017,78,0,2
0,68,Smart financial habits of the rich,2017,77,5,3
0,69,Tory pushed to explain vote on gender equity,2017,70,0,0
0,70,Low interest rates are the main culprit,2017,50,1,0
0,71,A generation on the move,2016,25,0,0
0,72,Through the roof,2016,33,1,0
0,73,Hot home sales setting record pace,2016,33,1,0
0,74,Busting common home-buying myths,2016,76,2,2
0,75,Ottawa on the right track for fuelling transit funding,2016,44,4,0
0,76,Hot housing market can't cool homebuyers' dreams,2016,22,1,0
0,77,A bidding-war survival guide,2016,55,0,2
0,78,It's crunch time for Toronto homeowners,2016,19,1,0
0,79,More lowrise houses needed in the GTA,2016,24,0,0
0,80,Feds urged to cool housing market,2016,30,1,0
0,81,Lack of supply keeps market hot,2016,26,0,0
0,82,How to cool the red-hot housing market,2016,32,2,3
0,83,"Suburban living isn't dead just yet, economist suggests",2016,74,1,1
0,84,Housing market to remain hot through 2016,2016,31,0,1
0,85,Taming rising house prices,2016,35,2,2
0,86,'Troubling trend' in Toronto real estate,2016,38,2,0
0,87,Letting air out of the bubble,2016,85,2,0
0,88,Curbing skyrocketing real-estate prices,2016,52,0,1
0,89,Urbancorp selloff leaves homebuyers in limbo,2016,70,3,1
0,90,Buyers will blow budget to get their dream house,2016,33,0,0
0,91,Canadians warned over house prices,2016,50,0,1
0,92,Rising through the ups and downs of our city,2016,93,0,2
0,93,A welcome dose of reality,2016,32,1,1
0,94,Land costs part of problem,2016,32,1,0
0,95,Finance boss vows no further cooling,2016,43,2,1
0,96,Hot month for GTA real estate sales,2016,35,0,0
0,97,First-time home buyers may get help,2016,33,0,0
0,98,Couple ditches buying for building,2016,45,3,0
0,99,Real estate tax rebate a drop in bucket,2016,70,4,2
0,100,T.O. housing is Canada's least affordable,2016,24,1,0
0,101,Average cost of detached home rises 27%,2016,48,2,0
0,102,The flip side of the Chinese real estate boom,2016,78,1,4
0,103,What's ahead for 2017's GTA real estate market,2016,72,2,1
0,104,Being prudent best way to prosper in market,2016,23,0,0
0,105,Lack of supply pushes prices even higher,2016,39,0,0
0,106,Shedding some light on that perfect property,2016,59,2,0
0,107,GTA housing remains white-hot,2016,52,0,1
0,108,'Dirty money' driving real estate boom,2016,47,1,2
0,109,Be ready to show off your home at a moment's notice,2016,5,0,0
0,110,Is it over-asking to cut real estate gimmickry?,2016,18,0,1
0,111,"Housing boom can't last, bank says",2016,48,1,0
0,112,"Housing's quick, painful fix",2016,50,1,0
0,113,Real estate key to optimistic Ontario outlook,2016,43,1,0
0,114,Regulations part of affordability crunch,2016,40,2,0
0,115,Denser housing policies lead to disappointment,2016,111,7,0
0,116,Toronto home sales soar 23.5% over 2015,2016,21,0,2
0,117,Yes to a speculation tax,2016,37,1,1
