Movie,Month,Day,Year,Budget($M),Domestic Gross($M),Worldwide Gross($M)
Avatar,Dec,18,2009,425,760.507625,2783.918982
Titanic,Dec,19,1997,200,659.363944,2208.208395
Star Wars Ep. VII: The Force Awakens,Dec,18,2015,306,936.662225,2058.662225
Jurassic World,Jun,12,2015,215,652.270625,1671.713208
The Avengers,May,4,2012,225,623.279547,1519.479547
Furious 7,Apr,3,2015,190,353.00702,1518.722794
Avengers: Age of Ultron,May,1,2015,330.6,459.005868,1408.218722
Harry Potter and the Deathly Hallows: Part II,Jul,15,2011,125,381.011219,1341.511219
Star Wars Ep. VIII: The Last Jedi,Dec,15,2017,200,619.277731,1331.243897
Frozen,Nov,22,2013,150,400.738009,1274.23498
Beauty and the Beast,Mar,17,2017,160,504.014165,1263.109573
The Fate of the Furious,Apr,14,2017,250,225.764765,1237.466026
Iron Man 3,May,3,2013,200,408.992272,1215.392272
Minions,Jul,10,2015,74,336.04577,1167.245366
Captain America: Civil War,May,6,2016,250,408.084349,1153.304495
The Lord of the Rings: The Return of the King,Dec,17,2003,94,377.845905,1141.403341
Transformers: Dark of the Moon,Jun,29,2011,195,352.390543,1123.790543
Skyfall,Nov,8,2012,200,304.360277,1110.526981
Transformers: Age of Extinction,Jun,27,2014,210,245.439076,1104.039076
The Dark Knight Rises,Jul,20,2012,275,448.139099,1084.439099
Toy Story 3,Jun,18,2010,200,415.00488,1069.666004
Pirates of the Caribbean: Dead Man’s Chest,Jul,7,2006,225,423.315812,1066.215812
Rogue One: A Star Wars Story,Dec,16,2016,200,532.177324,1050.988488
Pirates of the Caribbean: On Stranger Tides,May,20,2011,410.6,241.063875,1045.663875
Jurassic Park,Jun,11,1993,63,395.708305,1038.812584
Despicable Me 3,Jun,30,2017,75,264.6243,1034.542646
Star Wars Ep. I: The Phantom Menace,May,19,1999,115,474.544677,1027.044677
Alice in Wonderland,Mar,5,2010,200,334.19111,1025.49111
Finding Dory,Jun,17,2016,200,486.295561,1022.617376
Zootopia,Mar,4,2016,150,341.268248,1019.920974
The Hobbit: An Unexpected Journey,Dec,14,2012,250,303.003568,1017.003568
The Dark Knight,Jul,18,2008,185,533.345358,1001.620618
The Lion King,Jun,15,1994,79.3,422.78014,987.45139
Despicable Me 2,Jul,3,2013,76,368.065385,975.216835
Harry Potter and the Sorcerer’s Stone,Nov,16,2001,125,317.57555,974.755371
The Jungle Book,Apr,15,2016,175,364.001123,963.901123
Pirates of the Caribbean: At World’s End,May,24,2007,300,309.420425,963.420425
The Hobbit: The Desolation of Smaug,Dec,13,2013,250,258.366855,960.366855
Harry Potter and the Deathly Hallows: Part I,Nov,19,2010,125,295.983305,960.283305
The Hobbit: The Battle of the Five Armies,Dec,17,2014,250,255.119788,955.119788
Black Panther,Feb,16,2018,200,530.851601,944.951601
Harry Potter and the Order of the Phoenix,Jul,11,2007,150,292.004738,942.943935
Shrek 2,May,19,2004,70,441.226247,937.008132
Finding Nemo,May,30,2003,94,380.52937,936.42937
Harry Potter and the Half-Blood Prince,Jul,15,2009,250,301.959197,935.083686
The Lord of the Rings: The Two Towers,Dec,18,2002,94,342.548984,934.699645
Jumanji: Welcome to the Jungle,Dec,20,2017,90,395.168021,931.369459
Harry Potter and the Goblet of Fire,Nov,18,2005,150,290.013036,896.911078
Spider-Man 3,May,4,2007,258,336.530303,894.86023
The Lord of the Rings: The Fellowship of the Ring,Dec,19,2001,109,315.54475,887.210985
Spider-Man: Homecoming,Jul,7,2017,175,334.20114,880.206511
Ice Age: Continental Drift,Jul,13,2012,95,161.321843,879.765137
Spectre,Nov,6,2015,300,200.074175,879.620923
Harry Potter and the Chamber of Secrets,Nov,15,2002,100,261.98788,878.979634
The Secret Life of Pets,Jul,8,2016,75,368.38433,875.952759
Batman v Superman: Dawn of Justice,Mar,25,2016,250,330.360194,868.160194
The Hunger Games: Catching Fire,Nov,22,2013,130,424.668047,864.868047
Guardians of the Galaxy Vol 2,May,5,2017,200,389.813101,863.197744
Ice Age: Dawn of the Dinosaurs,Jul,1,2009,90,196.573705,859.701857
Inside Out,Jun,19,2015,175,356.461711,853.707581
Thor: Ragnarok,Nov,3,2017,180,315.003103,850.598226
Star Wars Ep. III: Revenge of the Sith,May,19,2005,115,380.270577,848.998877
Transformers: Revenge of the Fallen,Jun,24,2009,210,402.11187,836.519699
Inception,Jul,16,2010,160,292.576195,832.402082
"The Twilight Saga: Breaking Dawn, Part 2",Nov,16,2012,136.2,292.324737,829.724737
Spider-Man,May,3,2002,139,403.706375,821.706375
Independence Day,Jul,2,1996,75,306.169255,817.400878
Wonder Woman,Jun,2,2017,150,412.563408,817.012815
Shrek the Third,May,17,2007,160,322.719944,807.330936
Fantastic Beasts and Where to Find Them,Nov,18,2016,180,234.037575,803.798342
Deadpool,Feb,12,2016,58,363.070709,801.029249
Harry Potter and the Prisoner of Azkaban,Jun,4,2004,130,249.538952,796.688549
Spider-Man 2,Jun,30,2004,200,373.524485,795.11067
Pirates of the Caribbean: Dead Men Tell No Tales,May,26,2017,230,172.558876,794.758876
ET: The Extra-Terrestrial,Jun,11,1982,10.5,435.110554,792.965326
Fast and Furious 6,May,24,2013,160,238.67985,789.300444
2012,Nov,13,2009,200,166.112167,788.408539
Indiana Jones and the Kingdom of the Crystal Skull,May,22,2008,185,317.101119,786.635413
Star Wars Ep. IV: A New Hope,May,25,1977,11,460.998007,786.598007
Guardians of the Galaxy,Aug,1,2014,170,333.172112,771.051335
The Da Vinci Code,May,19,2006,125,217.536138,767.820459
The Hunger Games: Mockingjay - Part 1,Nov,21,2014,125,337.135885,766.652288
Maleficent,May,30,2014,180,241.407328,758.536735
The Amazing Spider-Man,Jul,3,2012,220,262.030663,757.890267
Shrek Forever After,May,21,2010,165,238.736787,756.244673
X-Men: Days of Future Past,May,23,2014,200,233.921534,747.862775
Madagascar 3: Europe's Most Wanted,Jun,8,2012,145,216.391482,746.921271
Suicide Squad,Aug,5,2016,175,325.100054,746.100054
Monsters University,Jun,21,2013,200,268.488329,743.588329
Coco,Nov,22,2017,175,208.643333,738.986156
The Matrix Reloaded,May,15,2003,150,281.553689,738.576929
Up,May,29,2009,175,293.004164,731.463377
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Dec,9,2005,180,291.710957,720.539572
Captain America: The Winter Soldier,Apr,4,2014,170,259.746958,714.401889
Dawn of the Planet of the Apes,Jul,11,2014,170,208.545589,710.644566
The Amazing Spider-Man 2,May,2,2014,200,202.853933,708.996336
Transformers,Jul,2,2007,151,319.246193,708.272592
The Twilight Saga: Eclipse,Jun,30,2010,68,300.531751,706.102828
Mission: Impossible—Rogue Nation,Jul,31,2015,150,195.042377,700.868363
It,Sep,8,2017,35,327.481748,697.459228
Gravity,Oct,4,2013,110,274.092705,695.941797
Mission: Impossible—Ghost Protocol,Dec,16,2011,145,209.397903,694.71323
"The Twilight Saga: Breaking Dawn, Part 1",Nov,18,2011,127.5,281.287133,689.420051
Forrest Gump,Jul,6,1994,55,330.151138,679.850637
Forrest Gump,Jul,6,1994,55,330.151138,679.850637
The Hunger Games,Mar,23,2012,80,408.010692,677.923379
Doctor Strange,Nov,4,2016,165,232.64192,677.54192
The Sixth Sense,Aug,6,1999,40,293.506292,672.806292
Man of Steel,Jun,14,2013,225,291.045518,667.999518
Interstellar,Nov,5,2014,165,188.017894,667.752422
Kung Fu Panda 2,May,26,2011,150,165.249063,664.837547
The Martian,Oct,2,2015,108,228.433663,663.851905
Star Wars Ep. II: Attack of the Clones,May,16,2002,115,310.67674,656.695615
Justice League,Nov,17,2017,300,228.977297,655.906448
Men in Black 3,May,25,2012,215,179.020854,654.213485
Big Hero 6,Nov,7,2014,165,222.527828,652.127828
Ice Age: The Meltdown,Mar,31,2006,75,195.330621,651.899282
The Hunger Games: Mockingjay - Part 2,Nov,20,2015,160,281.723902,650.523427
Thor: The Dark World,Nov,8,2013,150,206.36214,644.602516
Moana,Nov,23,2016,150,248.757044,639.537208
Pirates of the Caribbean: The Curse of the Black Pearl,Jul,9,2003,140,305.411224,634.954103
Sing,Dec,21,2016,75,270.329045,634.28774
Kung Fu Panda,Jun,6,2008,130,215.434591,631.910531
Fast Five,Apr,29,2011,125,210.031325,630.163454
Ratatouille,Jun,29,2007,150,206.445654,626.549695
Hancock,Jul,1,2008,150,227.946274,624.234272
The Passion of the Christ,Feb,25,2004,25,370.78293,622.341924
Iron Man 2,May,7,2010,170,312.433331,621.156389
The Lost World: Jurassic Park,May,22,1997,75,229.086679,618.638999
Logan,Mar,3,2017,127,226.277068,615.577068
The Incredibles,Nov,5,2004,92,261.441092,614.726752
How to Train Your Dragon 2,Jun,13,2014,145,177.002924,614.58627
Life of Pi,Nov,21,2012,120,124.987022,607.987022
War of the Worlds,Jun,29,2005,132,234.280354,606.836535
Transformers: The Last Knight,Jun,21,2017,217,130.168683,603.968683
Madagascar: Escape 2 Africa,Nov,7,2008,150,180.17488,599.680774
Casino Royale,Nov,17,2006,102,167.365,594.420283
Quantum of Solace,Nov,14,2008,230,169.368427,591.692078
Men in Black,Jul,1,1997,90,250.690539,587.790539
Tangled,Nov,24,2010,260,200.821936,586.47724
The Hangover Part II,May,26,2011,80,254.464305,586.464305
I am Legend,Dec,14,2007,150,256.39301,585.532684
Iron Man,May,2,2008,186,318.604126,585.171547
Night at the Museum,Dec,22,2006,110,250.863268,579.446407
The Croods,Mar,22,2013,135,187.168425,573.068425
Star Wars Ep. VI: Return of the Jedi,May,25,1983,32.5,309.205079,572.705079
Fifty Shades of Grey,Feb,13,2015,40,166.16723,570.998101
The Smurfs,Jul,29,2011,110,142.614158,563.749323
Kong: Skull Island,Mar,10,2017,185,168.052812,561.137727
Cars 2,Jun,24,2011,200,191.450875,560.155383
"Monsters, Inc.",Nov,2,2001,115,289.423425,559.757719
Madagascar,May,27,2005,75,193.595521,556.559566
The Day After Tomorrow,May,28,2004,125,186.740799,556.31945
Puss in Boots,Oct,28,2011,130,149.260504,554.987477
Brave,Jun,22,2012,185,237.282182,554.606532
Armageddon,Jul,1,1998,140,201.578182,554.6
Mei Ren Yu,Feb,19,2016,60.72,3.229457,552.198479
King Kong,Dec,14,2005,207,218.080025,550.517357
Mission: Impossible 2,May,24,2000,120,215.409889,549.588516
American Sniper,Dec,25,2014,58,350.126372,547.326372
Despicable Me,Jul,9,2010,69,251.513985,543.495033
X-Men: Apocalypse,May,27,2016,178,155.442489,542.742489
Sherlock Holmes: A Game of Shadows,Dec,16,2011,125,186.848418,535.663443
Cinderella,Mar,13,2015,95,201.151353,534.551353
Star Wars Ep. V: The Empire Strikes Back,May,21,1980,23,290.27196,534.17196
The Revenant,Dec,25,2015,135,183.637894,532.950503
WALL-E,Jun,27,2008,180,223.808164,532.508025
World War Z,Jun,21,2013,190,202.359711,531.51465
Godzilla,May,16,2014,160,200.676069,529.076069
The Simpsons Movie,Jul,27,2007,72.5,183.135014,527.071022
Ant-Man,Jul,17,2015,130,180.202163,519.338048
Kung Fu Panda 3,Jan,29,2016,140,143.528619,518.614383
Ghost,Jul,13,1990,22,217.631306,517.6
Meet the Fockers,Dec,22,2004,60,279.167575,516.567575
Terminator 2: Judgment Day,Jul,2,1991,100,203.464105,515.419827
Toy Story 2,Nov,19,1999,90,245.852179,511.358276
Aladdin,Nov,11,1992,28,217.350219,504.050219
Dunkirk,Jul,21,2017,150,188.373161,499.518504
Sherlock Holmes,Dec,25,2009,90,209.028679,498.438212
Wreck-It Ralph,Nov,2,2012,165,189.412677,496.511521
Twister,May,10,1996,88,241.688385,495.7
How to Train Your Dragon,Mar,26,2010,165,217.581232,494.870992
Clash of the Titans,Apr,1,2010,125,163.214888,493.214888
Rio 2,Apr,11,2014,130,131.538435,492.846291
The Boss Baby,Mar,31,2017,125,175.003033,492.317334
Angels & Demons,May,15,2009,150,133.375846,490.875846
Oz the Great and Powerful,Mar,8,2013,200,234.770996,490.359051
War for the Planet of the Apes,Jul,14,2017,152,146.880162,490.280162
Rio,Apr,15,2011,90,143.619809,487.519809
Mr. and Mrs. Smith,Jun,10,2005,110,186.336279,486.12409
Saving Private Ryan,Jul,24,1998,65,216.335085,485.035085
Teenage Mutant Ninja Turtles,Aug,8,2014,125,191.204754,485.004754
Les Intouchables,May,25,2012,10.8,13.182281,484.873045
Bruce Almighty,May,23,2003,81,242.704995,484.468608
Troy,May,14,2004,150,133.298577,484.161265
Rise of the Planet of the Apes,Aug,5,2011,93,176.760185,482.860185
Home Alone,Nov,16,1990,15,285.761243,476.684675
Charlie and the Chocolate Factory,Jul,15,2005,150,206.459076,475.825484
Indiana Jones and the Last Crusade,May,24,1989,48,197.171806,474.171806
Hotel Transylvania 2,Sep,25,2015,80,169.70011,470.751398
Jaws,Jun,20,1975,12,260,470.7
Star Trek Into Darkness,May,16,2013,190,228.778661,467.381584
San Andreas,May,29,2015,110,155.190832,467.15116
The Hangover,Jun,5,2009,35,277.322503,465.764086
The Matrix,Mar,31,1999,65,171.47993,463.517383
Cars,Jun,9,2006,70,244.082982,461.651246
X-Men: The Last Stand,May,26,2006,210,234.362462,459.260946
The Lego Movie,Feb,7,2014,60,257.784718,457.729388
Mission: Impossible,May,21,1996,80,180.981886,457.697994
Gladiator,May,5,2000,103,187.683805,457.683805
Lucy,Jul,25,2014,40,126.57396,457.507776
The Last Samurai,Dec,5,2003,140,111.110575,456.810575
300,Mar,9,2007,60,210.614939,454.161935
Beauty and the Beast,Nov,13,1991,20,218.951625,451.329842
Ocean's Eleven,Dec,7,2001,85,183.41715,450.728529
Django Unchained,Dec,25,2012,100,162.805434,449.948323
Thor,May,6,2011,150,181.030624,449.326618
Pearl Harbor,May,25,2001,151.5,198.539855,449.239855
Tarzan,Jun,16,1999,145,171.091819,448.191819
