byline,critics_pick,date_updated,display_title,headline,link.suggested_link_text,link.type,link.url,mpaa_rating,multimedia,opening_date,publication_date,summary_short
JANET MASLIN,0,11/2/2017 4:17,Private Confessions,Private Confessions (Movie)  ,Read the New York Times Review of Private Confessions,article,http://www.nytimes.com/movie/review?res=9C06E0D7143EF935A35752C0A96F958260,,,1999-00-00,1/6/1999,
Stephen Holden,0,11/2/2017 4:17,Regret to Inform,Regret to Inform (Movie)  ,Read the New York Times Review of Regret to Inform,article,http://www.nytimes.com/movie/review?res=9F05E2D6173AF936A15755C0A96F958260,Not Rated,,1998-00-00,6/25/1999,
Janet Maslin,0,11/2/2017 4:17,Dancemaker,Dancemaker (Movie)  ,Read the New York Times Review of Dancemaker,article,http://www.nytimes.com/movie/review?res=990DE3DC113CF930A35750C0A96F958260,,,1998-00-00,3/3/1999,
LAWRENCE VAN GELDER,0,11/2/2017 4:17,Pereira Declares,Pereira Declares (Movie)  ,Read the New York Times Review of Pereira Declares,article,http://www.nytimes.com/movie/review?res=9A0DE3DA173AF930A35757C0A96E958260,,,1998-00-00,4/3/1998,
Anita Gates,0,11/2/2017 4:17,Frozen,Frozen (Movie)  ,Read the New York Times Review of Frozen,article,http://www.nytimes.com/movie/review?res=9504E6DF1138F936A15750C0A96E958260,,,1997-00-00,3/25/1998,
A. O. SCOTT,0,11/2/2017 4:17,The Fantasticks,"Fantasticks, The (Movie)  ",Read the New York Times Review of The Fantasticks,article,http://www.nytimes.com/movie/review?res=9C0CE7D8103BF931A1575AC0A9669C8B63,PG,,1995-00-00,9/22/2000,"Widowers trick their children into falling in love. Timid and phony, everything it wasn't Off Broadway."
Lawrence Van Gelder,0,11/2/2017 4:17,Small Wonders,Small Wonders (Movie)  ,Read the New York Times Review of Small Wonders,article,http://www.nytimes.com/movie/review?res=9404E2DC153FF937A35753C1A960958260,G,,1995-00-00,10/4/1996,
STEPHEN HOLDEN ,0,11/2/2017 4:17,A Place in the World,"PLACE IN THE WORLD, A (MOVIE)",Read the New York Times Review of A Place in the World,article,http://www.nytimes.com/movie/review?res=9D0DE5DB1739F932A35754C0A962958260,PG,,1994-00-00,7/1/1994,
Janet Maslin,0,11/2/2017 4:17,Rock Hudson's Home Movies,ROCK HUDSON'S HOME MOVIES (MOVIE),Read the New York Times Review of Rock Hudson's Home Movies,article,http://www.nytimes.com/movie/review?res=9F0CE3D71731F931A35757C0A965958260,Not Rated,,1992-00-00,4/2/1993,
JANET MASLIN,0,11/2/2017 4:17,Golden Eighties,"Golden Eighties, The (Movie)",Read the New York Times Review of Golden Eighties,article,http://www.nytimes.com/movie/review?res=9407E3DA143BF931A35753C1A965948260,,,1992-00-00,10/2/1983,
Vincent Canby,0,11/2/2017 4:17,Via Appia,VIA APPIA (MOVIE),Read the New York Times Review of Via Appia,article,http://www.nytimes.com/movie/review?res=9E0CE6DA1339F934A1575BC0A964958260,Not Rated,,1991-00-00,8/27/1992,
JANET MASLIN,0,11/2/2017 4:17,The Garden,"GARDEN, THE (MOVIE)",Read the New York Times Review of The Garden,article,http://www.nytimes.com/movie/review?res=9D0CE1D6173EF934A25752C0A967958260,Not Rated,,1990-00-00,1/17/1991,
Janet Maslin,0,11/2/2017 4:17,Jungle Book,"JUNGLE BOOK, THE (MOVIE)",Read the New York Times Review of Jungle Book,article,http://www.nytimes.com/movie/review?res=9C0CE6DD1739F930A25754C0A966958260,,,1990-00-00,7/13/1990,
WALTER GOODMAN,0,11/2/2017 4:17,Genesis,GENESIS (MOVIE),Read the New York Times Review of Genesis,article,http://www.nytimes.com/movie/review?res=940DE3DC1E31F930A15751C1A96E948260,,,1986-00-00,12/23/1988,
WALTER GOODMAN,0,11/2/2017 4:17,Chile: Hasta Cuando?,CHILE: HASTA CUANDO? (MOVIE),Read the New York Times Review of Chile: Hasta Cuando?,article,http://www.nytimes.com/movie/review?res=9B0DE3DD1138F933A25755C0A961948260,,,1986-00-00,6/10/1987,
Walter Goodman,0,11/2/2017 4:17,Broken Rainbow,BROKEN RAINBOW (MOVIE),Read the New York Times Review of Broken Rainbow,article,http://www.nytimes.com/movie/review?res=9A0DEFDB1E3AF932A25757C0A960948260,,,1985-00-00,4/11/1986,
JANET MASLIN,0,11/2/2017 4:17,A Shocking Accident,"Shocking Accident, A (Movie)",Read the New York Times Review of A Shocking Accident,article,http://www.nytimes.com/movie/review?res=9C02E7DD153AF93BA35756C0A963948260,,,1982-00-00,5/8/1985,
GLENN KENNY,0,1/12/2018 17:44,Permanent,"Review: ‘Permanent,’ About the Hairstyle, Falls Flat",Read the New York Times Review of Permanent,article,http://www.nytimes.com/2017/12/15/movies/permanent-review-patricia-arquette.html,PG-13,,12/15/2017,12/15/2017,Rainn Wilson and Patricia Arquette play the parents of a girl who gets the titular treatment in this unsuccessful comedy.
JEANNETTE CATSOULIS,1,12/22/2017 17:44,The Rape of Recy Taylor,Review: ‘The Rape of Recy Taylor’ Takes a Deep Dive Into Systemic Injustice,Read the New York Times Review of The Rape of Recy Taylor,article,http://www.nytimes.com/2017/12/14/movies/the-rape-of-recy-taylor-review.html,,,12/15/2017,12/14/2017,Nancy Buirski’s film is one of multiple layers and marvelous gumption.
ANDY WEBSTER,1,12/22/2017 17:44,Soufra,"Review: In ‘Soufra,’ a Women-Run Food Truck Grows in Lebanon",Read the New York Times Review of Soufra,article,http://www.nytimes.com/2017/12/14/movies/soufra-review.html,,,12/15/2017,12/14/2017,"This documentary from Thomas Morgan, about a female entrepreneur establishing a business just south of Beirut, is a stirring tale of empowerment."
A.O. SCOTT,0,1/14/2018 17:44,Birdboy: The Forgotten Children,"Review: ‘Birdboy,’ a Disturbing Animated Feature from Spain",Read the New York Times Review of Birdboy: The Forgotten Children,article,http://www.nytimes.com/2017/12/14/movies/birdboy-the-forgotten-children-review.html,,,12/15/2017,12/14/2017,"The movie has talking animals, but it’s not necessarily for kids."
BEN KENIGSBERG,0,1/14/2018 17:44,Ferdinand,Review: ‘Ferdinand’ Delivers a Timeless Be-Yourself Message,Read the New York Times Review of Ferdinand,article,http://www.nytimes.com/2017/12/14/movies/ferdinand-review.html,PG,,12/15/2017,12/14/2017,"Ferdinand, the picture-book bull that is actually quite tame, gets new life in a computer-animated adaptation from Carlos Saldanha."
GLENN KENNY,0,12/22/2017 17:44,Beyond Skyline,"Review: A Sci-Fi Thriller, ‘Beyond Skyline’ Is Beyond Ridiculous",Read the New York Times Review of Beyond Skyline,article,http://www.nytimes.com/2017/12/14/movies/beyond-skyline-review.html,R,,12/15/2017,12/14/2017,"Liam O’Donnell’s genre-hopping film takes its characters from Los Angeles to Laos, but risks losing its audience along the way."
BEN KENIGSBERG,0,12/22/2017 17:44,Killing for Love,Review: ‘Killing for Love’ Revisits a Virginia Murder Case,Read the New York Times Review of Killing for Love,article,http://www.nytimes.com/2017/12/14/movies/killing-for-love-review.html,,,12/15/2017,12/14/2017,"The true-crime documentary lays out a persuasive case for reasonable doubt in the case against Jens Soering, who was convicted, along with his girlfriend."
