Year,cpilevel
1960,12.47800791
1961,12.61161295
1962,12.76279761
1963,12.9210141
1964,13.08626245
1965,13.29370186
1966,13.69451699
1967,14.07423659
1968,14.67545928
1969,15.47708955
1970,16.38068155
1971,17.083866
1972,17.64289763
1973,18.73283351
1974,20.80371169
1975,22.7058256
1976,24.01023274
1977,25.5713022
1978,27.52263902
1979,30.62016649
1980,34.76895469
1981,38.36222718
1982,40.71437914
1983,42.0223022
1984,43.82948621
1985,45.38352383
1986,46.24492477
1987,47.93959927
1988,49.89445202
1989,52.30285873
1990,55.12614426
1991,57.4607166
1992,59.20109809
1993,60.94851143
1994,62.53770827
1995,64.29215345
1996,66.17668775
1997,67.72369352
1998,68.77495426
1999,70.27976896
2000,72.65301645
2001,74.70631502
2002,75.8911808
2003,77.61398268
2004,79.69189271
2005,82.39563688
2006,85.05367407
2007,87.47997682
2008,90.83842087
2009,90.51544826
2010,91.99994093
2011,94.90423331
2012,96.86812198
2013,98.28707786
2014,99.88151342
2015,100
2016,101.2615832
2017,103.4185663
