Ackley,1560
Adel,4245
Akron,1450
Albia,3829
Algona,5470
Allison,1029
Alta,1883
Alton,1264
Altoona,16984
Ames,65060
Anamosa,5469
Ankeny,56764
Aplington,1079
Arnolds Park,1234
Asbury,5291
Atkins,1795
Atlantic,6833
Audubon,2017
Avoca,1504
Baxter,1103
Bedford,1415
Belle Plaine,2475
Bellevue,2176
Belmond,2314
Bettendorf,35505
Bloomfield,2617
Blue Grass,1676
Bondurant,4996
Boone,12692
Britt,1973
Brooklyn,1420
Buffalo,1299
Burlington,25410
Camanche,4341
Carlisle,4168
Carroll,9968
Carter Lake,3791
Cascade,2271
Cedar Falls,41255
Cedar Rapids,130405
Center Point,2521
Centerville,5745
Central City,1269
Chariton,4214
Charles City,7455
Cherokee,5030
Clarinda,5418
Clarion,2767
Clarksville,1409
Clear Lake,7590
Clinton,26064
Clive,15447
Colfax,2051
Columbus Junction,1860
Conrad,1100
Coon Rapids,1269
Coralville,20608
Corning,1537
Corydon,1589
Council Bluffs,62597
Cresco,3833
Creston,7854
Dallas Center,1792
Davenport,102582
De Soto,1089
De Witt,5242
Decorah,7907
Denison,8334
Denver,1835
Des Moines,210330
Dike,1289
Dubuque,58799
Durant,1816
Dyersville,4204
Dysart,1354
Eagle Grove,3419
Earlham,1405
Eddyville,1012
Eldora,2702
Eldridge,6232
Elk Run Heights,1134
Elkader,1213
Ely,2074
Emmetsburg,3811
Epworth,1955
Estherville,6011
Evansdale,4812
Fairbank,1117
Fairfax,2497
Fairfield,9892
Farley,1691
Fayette,1491
Forest City,4018
Fort Dodge,24649
Fort Madison,10717
Garner,3107
George,1055
Gilbert,1116
Glenwood,5253
Glidden,1127
Granger,1431
Greene,1120
Greenfield,1883
Grimes,10676
Grinnell,9141
Grundy Center,2714
Guthrie Center,1513
Guttenberg,1861
Hamburg,1082
Hampton,4290
Harlan,5002
Hartley,1616
Hawarden,2551
Hiawatha,7199
Holstein,1391
Hudson,2381
Hull,2244
Humboldt,4596
Huxley,3536
Ida Grove,2122
Independence,6028
Indianola,15467
Iowa City,74220
Iowa Falls,5195
Jefferson,4204
Jesup,2671
Jewell,1188
Johnston,20871
Kalona,2509
Keokuk,10609
Kingsley,1396
Knoxville,7248
La Porte City,2290
Lake City,1670
Lake Mills,2060
Lake Panorama,1309
Lake Park,1137
Lake View,1125
Lamoni,2376
Laurens,1180
Le Claire,3982
Le Mars,9761
Lenox,1385
Leon,1903
Lisbon,2202
Logan,1465
Lone Tree,1415
Madrid,2588
Maharishi Vedic City,1299
Malvern,1117
Manchester,5073
Manly,1310
Manning,1472
Manson,1615
Mapleton,1214
Maquoketa,5989
Marcus,1070
Marengo,2513
Marion,37330
Marshalltown,27620
Mason City,27366
Mechanicsville,1108
Mediapolis,1574
Melcher-Dallas,1259
Milford,3018
Missouri Valley,2695
Mitchellville,2304
Monona,1500
Monroe,1831
Montezuma,1411
Monticello,3825
Mount Ayr,1686
Mount Pleasant,8433
Mount Vernon,4486
Moville,1634
Muscatine,23968
Nashua,1621
Nevada,6831
New Hampton,3452
New London,1882
New Sharon,1291
Newton,15125
Nora Springs,1389
North English,1022
North Liberty,15931
Northwood,1995
Norwalk,10135
Oakland,1507
Oelwein,6153
Ogden,2041
Onawa,2881
Orange City,6198
Osage,3654
Osceola,4972
Oskaloosa,11607
Ottumwa,24624
Palo,1053
Panora,1085
Park View,2389
Parkersburg,1960
Paullina,1017
Pella,10363
Peosta,1618
Perry,8089
Pleasant Hill,9314
Pleasantville,1669
Pocahontas,1740
Polk City,4323
Postville,2131
Prairie City,1709
Preston,1012
Red Oak,5472
Reinbeck,1639
Remsen,1632
Riverside,1045
Robins,3454
Rock Rapids,2602
Rock Valley,3693
Rockwell,1019
Rockwell City,2141
Roland,1304
Sac City,2144
Saint Ansgar,1107
Sanborn,1385
Saylorville,3301
Sergeant Bluff,4520
Sheffield,1140
Sheldon,5088
Shell Rock,1323
Shenandoah,5021
Sibley,2668
Sidney,1044
Sigourney,2005
Sioux Center,7461
Sioux City,82821
Slater,1506
Solon,2545
Spencer,11212
Spirit Lake,5018
Springville,1139
State Center,1470
Storm Lake,10910
Story City,3438
Strawberry Point,1236
Stuart,1602
Sumner,2009
Tama,2819
Tiffin,2657
Tipton,3200
Toledo,2202
Traer,1655
Tripoli,1342
University Heights,1119
Urbana,1459
Urbandale,44062
Van Meter,1142
Villisca,1194
Vinton,5148
Walcott,1636
Walford,1459
Wapello,2041
Washington,7408
Waterloo,68460
Waukee,18990
Waukon,3736
Waverly,10066
Webster City,7814
Wellman,1431
West Branch,2337
West Burlington,3047
West Des Moines,64113
West Liberty,3728
West Union,2409
Williamsburg,3195
Wilton,2805
Windsor Heights,4889
Winfield,1142
Winterset,5176
Woodbine,1422
Woodward,1503
